Name,PDF,Image,Description,Alt,Issuer
American Business,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/American_Business.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/american_business_lg.jpg,Boy Scouts of America - American Business Badge,American Business Badge Image,1
American Cultures,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/American_Cultures.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/american_cultures_lg.jpg,Boy Scouts of America - American Cultures Badge,American Cultures Badge Image,1
American Heritage,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/American_Heritage.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/american_heritage_lg.jpg,Boy Scouts of America - American Heritage Badge,American Heritage Badge Image,1
American Labor,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/American_Labor.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/american_labor_lg.jpg,Boy Scouts of America - American Labor Badge,American Labor Badge Image,1
Animal Science,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Animal_Science.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/animal_science_lg.jpg,Boy Scouts of America - Animal Science Badge,Animal Science Badge Image,1
Animation,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Animation.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/animation_lg.jpg,Boy Scouts of America - Animation Badge,Animation Badge Image,1
Archaeology,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Archaeology.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/archaeology_lg.jpg,Boy Scouts of America - Archaeology Badge,Archaeology Badge Image,1
Archery,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Archery.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/archery_lg.jpg,Boy Scouts of America - Archery Badge,Archery Badge Image,1
Architecture,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Architecture.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/architecture_lg.jpg,Boy Scouts of America - Architecture Badge,Architecture Badge Image,1
Art,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Art.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/art_lg.jpg,Boy Scouts of America - Art Badge,Art Badge Image,1
Astronomy,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Astronomy.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/astronomy_lg.jpg,Boy Scouts of America - Astronomy Badge,Astronomy Badge Image,1
Athletics,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Athletics.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/athletics_lg.jpg,Boy Scouts of America - Athletics Badge,Athletics Badge Image,1
Automotive Maintenance,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Automotive_Maintenance.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/automotive_maintenance_lg.jpg,Boy Scouts of America - Automotive Maintenance Badge,Automotive Maintenance Badge Image,1
Aviation,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Aviation.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/aviation_lg.jpg,Boy Scouts of America - Aviation Badge,Aviation Badge Image,1
